"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"146" 0.558662 0.620262 0.565292 0.435642 0.562817 0.387132 0.536149 0.564826 0.598725 0.518723 0.654196 0.582527 0.494182 0.64208 0.467584
"147" 0.356296 0.597964 0.742842 0.519808 0.547853 0.595645 0.566316 0.468467 0.619159 0.517298 0.688339 0.562131 0.587806 0.442497 0.462029
"148" 0.413877 0.636298 0.753419 0.471441 0.585053 0.472771 0.561739 0.473693 0.573409 0.486236 0.654302 0.629526 0.545031 0.447299 0.449353
"149" 0.421799 0.689334 0.697998 0.590811 0.579533 0.466333 0.555595 0.463924 0.568774 0.507742 0.670692 0.631634 0.572988 0.448163 0.433672
"150" 0.435639 0.650463 0.708635 0.556537 0.61423 0.409056 0.544013 0.443072 0.58907 0.463961 0.710502 0.616215 0.571179 0.469603 0.453671
"151" 0.441508 0.590582 0.594624 0.521039 0.489584 0.474337 0.543825 0.49948 0.585919 0.463415 0.681033 0.612862 0.526683 0.463576 0.439214
"152" 0.591719 0.596516 0.561947 0.434358 0.551624 0.576872 0.526307 0.4693 0.640748 0.63981 0.599365 0.746174 0.480746 0.463004 0.395573
"153" 0.488796 0.58395 0.480132 0.602732 0.500567 0.516324 0.575623 0.473542 0.606578 0.53742 0.641452 0.633295 0.741674 0.486248 0.476907
"154" 0.525912 0.458275 0.611689 0.649342 0.454929 0.545993 0.587651 0.476205 0.613531 0.580566 0.632579 0.625238 0.735133 0.512098 0.476794
"155" 0.429133 0.708784 0.511574 0.360127 0.547395 0.479471 0.571606 0.461834 0.601874 0.508716 0.590788 0.629011 0.683536 0.445879 0.448453
"156" 0.471489 0.733516 0.569996 0.447089 0.505714 0.495112 0.580476 0.446285 0.569735 0.587186 0.590035 0.634221 0.652762 0.514997 0.462833
"157" 0.557814 0.738916 0.510936 0.482619 0.508969 0.55846 0.518782 0.457632 0.621799 0.545614 0.64104 0.681634 0.535152 0.511389 0.459364
"158" 0.428269 0.47844 0.654416 0.581558 0.568055 0.507133 0.592235 0.519278 0.571635 0.536875 0.612572 0.593473 0.60911 0.473129 0.448216
"159" 0.615866 0.674349 0.470277 0.472251 0.49154 0.541641 0.5279 0.452004 0.598885 0.520434 0.582619 0.612885 0.490394 0.488957 0.445033
"160" 0.535081 0.598878 0.633332 0.483341 0.55291 0.492803 0.514828 0.428605 0.609085 0.540129 0.671082 0.620409 0.498325 0.405705 0.440358
"161" 0.475132 0.533377 0.413226 0.526827 0.481863 0.540746 0.550049 0.523743 0.520014 0.557921 0.580715 0.636164 0.575316 0.552344 0.45584
"162" 0.496676 0.591872 0.479789 0.569501 0.437479 0.595088 0.51473 0.485493 0.501362 0.534856 0.525989 0.667248 0.611026 0.559444 0.442536
"163" 0.498008 0.52646 0.614872 0.45055 0.535433 0.425816 0.567148 0.492915 0.624652 0.533979 0.649275 0.523748 0.48762 0.407181 0.474275
"164" 0.498016 0.634142 0.485494 0.567597 0.492309 0.576493 0.503311 0.479891 0.586755 0.52401 0.569332 0.69277 0.609503 0.586254 0.428885
"165" 0.517914 0.595176 0.715525 0.513152 0.538361 0.479793 0.51948 0.452596 0.599199 0.551903 0.575783 0.681574 0.535498 0.4957 0.447298
"166" 0.497539 0.590994 0.732525 0.536098 0.540882 0.439197 0.543318 0.433219 0.606901 0.534055 0.604389 0.659313 0.558352 0.499519 0.441934
"167" 0.428551 0.609906 0.738911 0.58888 0.519415 0.446919 0.524569 0.41764 0.619977 0.524112 0.608153 0.620844 0.499344 0.511128 0.450577
"168" 0.576091 0.572818 0.41196 0.458347 0.535975 0.55639 0.542371 0.535603 0.58048 0.520328 0.65338 0.64363 0.59382 0.443142 0.441427
"169" 0.576167 0.506406 0.611732 0.58866 0.566611 0.49182 0.505401 0.485626 0.659028 0.496001 0.609153 0.618105 0.474 0.524734 0.450022
